,Car_Title,Manufactured_Year,vehicle_runs_on_road,Vehicle_Fuel_type,Vehicle_mode,Price
58,Hyundai EON D Lite Plus,2013,"70,000 kms ", Petrol , Manual,₹ 1.30 Lakh
59,Hyundai i10 Sportz,2013,"68,736 kms ", Petrol , Manual,₹ 2.25 Lakh
60,Honda City V MT,2013,"71,641 kms ", Petrol , Manual,₹ 3.70 Lakh
61,Renault Duster 85PS Diesel RxL,2013,"1,12,052 kms ", Diesel , Manual,₹ 4.00 Lakh
62,Maruti Swift Dzire VDI,2013,"1,59,383 kms ", Diesel , Manual,₹ 2.50 Lakh
63,Ford Ecosport 1.5 DV5 MT Titanium,2014,"71,000 kms ", Diesel , Manual,₹ 4.10 Lakh
64,Maruti Swift VVT VXI,2014,"1,06,934 kms ", Petrol , Manual,₹ 2.85 Lakh
65,Hyundai EON D Lite,2014,"55,719 kms ", Petrol , Manual,₹ 1.60 Lakh
66,Nissan Terrano XL 110 PS,2014,"1,27,489 kms ", Diesel , Manual,₹ 4.50 Lakh
67,BMW 7 Series 730Ld,2014,"4,106 kms ", Diesel , Automatic,₹ 28.00 Lakh
68,Mahindra XUV500 W8 2WD,2014,"1,20,000 kms ", Diesel , Manual,₹ 5.00 Lakh
69,Hyundai Xcent 1.2 Kappa S,2014,"45,458 kms ", Petrol , Manual,₹ 3.20 Lakh
70,Honda City i VTEC SV,2014,"80,081 kms ", Petrol , Manual,₹ 4.50 Lakh
71,Ford Ecosport 1.5 DV5 MT Titanium,2014,"71,000 kms ", Diesel , Manual,₹ 4.10 Lakh
72,Maruti Swift Dzire VDI,2014,"1,09,663 kms ", Diesel , Manual,₹ 3.50 Lakh
73,Honda City i DTEC SV,2014,"82,283 kms ", Diesel , Manual,₹ 3.60 Lakh
74,Honda Amaze S i-Vtech,2014,"17,500 kms ", Petrol , Manual,₹ 3.99 Lakh
75,Renault Duster 85PS Diesel RxE,2014,"1,49,192 kms ", Diesel , Manual,₹ 2.00 Lakh
76,Honda Amaze S i-Dtech,2014,"1,18,176 kms ", Diesel , Manual,₹ 2.75 Lakh
77,Skoda Superb Elegance 2.0 TDI CR AT,2014,"1,32,756 kms ", Diesel , Automatic,₹ 6.00 Lakh
78,Mercedes-Benz S-Class S 350 d,2014,"13,000 kms ", Diesel , Automatic,₹ 47.75 Lakh
79,Maruti Ciaz VDi Plus,2014,"1,20,400 kms ", Diesel , Manual,₹ 4.50 Lakh
80,Mahindra XUV500 W4,2014,"1,13,454 kms ", Diesel , Manual,₹ 3.80 Lakh
81,Toyota Corolla Altis D-4D G,2014,"76,333 kms ", Diesel , Manual,₹ 6.25 Lakh
82,Honda City i VTEC CVT SV,2014,"87,912 kms ", Petrol , Automatic,₹ 4.50 Lakh
83,Toyota Etios Liva GD,2014,"3,99,754 kms ", Diesel , Manual,₹ 2.50 Lakh
84,Hyundai Verna 1.6 SX,2014,"1,05,713 kms ", Diesel , Manual,₹ 2.75 Lakh
85,Renault Duster 85PS Diesel RxL,2014,"63,309 kms ", Diesel , Manual,₹ 4.00 Lakh
86,Maruti Swift Dzire ZDI,2014,"51,623 kms ", Diesel , Manual,₹ 4.00 Lakh
87,Audi Q3 2.0 TDI Quattro Premium Plus,2014,"26,000 kms ", Diesel , Automatic,₹ 14.49 Lakh
88,Jaguar XF 2.2 Litre Luxury,2014,"17,000 kms ", Diesel , Automatic,₹ 19.90 Lakh
89,Chevrolet Beat Diesel LS,2014,"1,09,963 kms ", Diesel , Manual,₹ 1.00 Lakh
90,Honda Amaze E i-Dtech,2014,"95,734 kms ", Diesel , Manual,₹ 2.50 Lakh
91,Ford Ecosport 1.5 DV5 MT Titanium,2014,"71,000 kms ", Diesel , Manual,₹ 4.10 Lakh
92,Maruti Ritz VDi,2014,"1,01,678 kms ", Diesel , Manual,₹ 3.00 Lakh
93,Maruti Wagon R LXI CNG,2014,"1,29,439 kms ", CNG , Manual,₹ 3.00 Lakh
94,Mercedes-Benz E-Class E250 CDI,2014,"44,356 kms ", Diesel , Automatic,₹ 16.49 Lakh
95,Mercedes-Benz S-Class S 500 L,2015,"70,000 kms ", Petrol , Automatic,₹ 49.00 Lakh
96,Toyota Corolla Altis D-4D J,2015,"75,128 kms ", Diesel , Manual,₹ 5.50 Lakh
97,Audi A6 35 TDI,2015,"55,000 kms ", Diesel , Automatic,₹ 21.00 Lakh
98,Mahindra Scorpio S4 Plus,2015,"75,000 kms ", Diesel , Manual,₹ 7.50 Lakh
99,Maruti Swift Dzire LDI,2015,"1,58,955 kms ", Diesel , Manual,₹ 2.50 Lakh
100,Honda Amaze S i-Vtech,2015,"99,568 kms ", Petrol , Manual,₹ 3.70 Lakh
101,Audi Q3 35 TDI Quattro Premium,2015,"64,985 kms ", Diesel , Automatic,₹ 15.00 Lakh
102,Maruti Celerio VDi,2015,"1,69,672 kms ", Diesel , Manual,₹ 1.90 Lakh
103,Mahindra TUV 300 T6,2015,"73,605 kms ", Diesel , Manual,₹ 3.70 Lakh
104,Maruti Swift VDI BSIV,2015,"27,370 kms ", Diesel , Manual,₹ 5.00 Lakh
105,Maruti Swift Dzire ZXI,2015,"1,20,877 kms ", Petrol , Manual,₹ 4.00 Lakh
106,Volvo S60 D4 SUMMUM,2015,"76,189 kms ", Diesel , Automatic,₹ 10.00 Lakh
107,Mercedes-Benz S-Class S 350 CDI,2015,"40,000 kms ", Diesel , Automatic,₹ 51.00 Lakh
108,Hyundai i20 Magna 1.4 CRDi,2015,"94,385 kms ", Diesel , Manual,₹ 4.00 Lakh
109,Honda Amaze VX i-Vtech,2015,"54,032 kms ", Petrol , Manual,₹ 4.00 Lakh
110,Mitsubishi Pajero Sport 4X2 AT,2015,"1,57,329 kms ", Diesel , Automatic,₹ 10.00 Lakh
111,Hyundai Grand i10 Sportz,2015,"71,868 kms ", Petrol , Manual,₹ 3.50 Lakh
112,Toyota Innova 2.5 VX (Diesel) 8 Seater BS IV,2015,"20,948 kms ", Diesel , Manual,₹ 9.75 Lakh
113,Audi Q5 3.0 TDI Quattro Technology,2015,"35,000 kms ", Diesel , Automatic,₹ 21.00 Lakh
114,Mercedes-Benz GLE 250d,2016,"64,000 kms ", Diesel , Automatic,₹ 35.50 Lakh
115,Maruti Ciaz ZDi SHVS,2016,"79,431 kms ", Diesel , Manual,₹ 5.35 Lakh
116,Maruti Alto K10 VXI AMT,2016,"53,801 kms ", Petrol , Automatic,₹ 2.80 Lakh
117,Tata Safari Storme VX,2016,"25,000 kms ", Diesel , Manual,₹ 5.10 Lakh
118,Maruti Vitara Brezza ZDi,2016,"78,969 kms ", Diesel , Manual,₹ 6.50 Lakh
119,Porsche Cayenne Diesel Platinum Edition,2016,"50,000 kms ", Diesel , Automatic,₹ 58.00 Lakh
120,Audi A6 35 TDI,2016,"68,000 kms ", Diesel , Automatic,₹ 23.60 Lakh
121,Hyundai i20 Asta 1.2,2016,"52,780 kms ", Petrol , Manual,₹ 5.50 Lakh
122,Mahindra KUV 100 mFALCON G80 K8 5str AW,2016,"42,009 kms ", Petrol , Manual,₹ 3.50 Lakh
123,Mercedes-Benz GLS 350d Grand Edition,2016,"45,000 kms ", Diesel , Automatic,₹ 58.50 Lakh
124,Hyundai Creta 1.6 VTVT AT SX Plus,2016,"48,330 kms ", Petrol , Automatic,₹ 8.60 Lakh
125,Toyota Innova Crysta 2.4 VX MT BSIV,2016,"57,936 kms ", Diesel , Manual,₹ 13.50 Lakh
126,Maruti Ertiga SHVS ZDI Plus,2016,"63,621 kms ", Diesel , Manual,₹ 5.50 Lakh
127,Mahindra TUV 300 T8,2016,"1,36,672 kms ", Diesel , Manual,₹ 4.70 Lakh
128,Tata Tiago 1.2 Revotron XZ,2016,"55,184 kms ", Petrol , Manual,₹ 4.00 Lakh
129,Chevrolet Beat PS,2016,"22,615 kms ", Petrol , Manual,₹ 1.50 Lakh
130,Toyota Innova Crysta 2.4 G MT BSIV,2017,"30,000 kms ", Diesel , Manual,₹ 16.00 Lakh
131,Maruti Vitara Brezza LDi Option,2017,"72,632 kms ", Diesel , Manual,₹ 5.60 Lakh
132,Jeep Compass 2.0 Limited,2017,"30,000 kms ", Diesel , Manual,₹ 12.75 Lakh
133,Maruti Ertiga SHVS VDI,2017,"1,41,672 kms ", Diesel , Manual,₹ 7.50 Lakh
134,Mercedes-Benz E-Class Exclusive E 220 d BSIV,2017,"43,000 kms ", Diesel , Automatic,₹ 38.50 Lakh
135,Honda Jazz 1.2 SV i VTEC,2017,"66,000 kms ", Petrol , Manual,₹ 4.85 Lakh
136,Mahindra TUV 300 T6 Plus,2017,"68,000 kms ", Diesel , Manual,₹ 5.65 Lakh
137,Maruti Celerio Green VXI Optional,2017,"51,000 kms ", CNG , Manual,₹ 4.20 Lakh
138,Maruti SX4 S Cross DDiS 200 Zeta,2017,"92,000 kms ", Diesel , Manual,₹ 6.75 Lakh
139,Maruti Swift Dzire LXI Option,2017,"67,433 kms ", Petrol , Manual,₹ 3.75 Lakh
140,Skoda Superb LK 1.8 TSI AT,2017,"57,000 kms ", Petrol , Automatic,₹ 20.75 Lakh
141,Maruti Vitara Brezza ZDi,2017,"61,107 kms ", Diesel , Manual,₹ 7.00 Lakh
142,Jeep Compass 1.4 Limited Option,2017,"19,000 kms ", Petrol , Automatic,₹ 12.50 Lakh
143,Maruti Ciaz AT ZXi,2017,"32,000 kms ", Petrol , Automatic,₹ 7.25 Lakh
144,Honda City i VTEC CVT VX,2017,"55,000 kms ", Petrol , Automatic,₹ 7.75 Lakh
145,Honda City i VTEC CVT VX,2017,"55,000 kms ", Petrol , Automatic,₹ 7.75 Lakh
146,Toyota Camry 2.5 Hybrid,2017,"92,000 kms ", Petrol , Automatic,₹ 22.50 Lakh
147,Mercedes-Benz C-Class C 200 CGI,2017,"62,000 kms ", Petrol , Automatic,₹ 28.00 Lakh
148,Renault KWID 1.0 RXT,2017,"15,895 kms ", Petrol , Manual,₹ 3.00 Lakh
149,Ford Ecosport 1.5 Diesel Titanium BSIV,2017,"1,00,000 kms ", Diesel , Manual,₹ 6.50 Lakh
150,Skoda Superb Style 1.8 TSI AT,2017,"54,000 kms ", Petrol , Automatic,₹ 21.75 Lakh
151,Hyundai Grand i10 Magna,2017,"88,673 kms ", Petrol , Manual,₹ 4.25 Lakh
152,Maruti Vitara Brezza ZDi,2017,"61,107 kms ", Diesel , Manual,₹ 7.00 Lakh
153,Tata Tiago 1.05 Revotorq XZ,2017,"90,255 kms ", Diesel , Manual,₹ 3.50 Lakh
154,Mercedes-Benz GLS 350d 4MATIC,2017,"76,000 kms ", Diesel , Automatic,₹ 59.50 Lakh
155,Toyota Etios Liva 1.4 GD,2017,"64,228 kms ", Diesel , Manual,₹ 5.00 Lakh
156,Audi Q7 45 TDI Quattro Technology,2017,"65,000 kms ", Diesel , Automatic,₹ 46.00 Lakh
157,Audi Q3 30 TFSI Premium FWD,2017,"22,745 kms ", Petrol , Automatic,₹ 27.00 Lakh
158,BMW 3 Series GT Luxury Line,2017,"24,000 kms ", Diesel , Automatic,₹ 31.00 Lakh
159,Jaguar XE 2.0L Diesel Prestige,2017,"52,000 kms ", Diesel , Automatic,₹ 24.50 Lakh
160,Maruti Swift Dzire VXI 1.2,2017,"34,704 kms ", Petrol , Manual,₹ 5.00 Lakh
161,Toyota Camry 2.5 Hybrid,2017,"92,000 kms ", Petrol , Automatic,₹ 22.50 Lakh
